"label","nombre","circunscripcion"
"Representantes 2018-2022","Catalina Ortiz Lalinde","Valle del Cauca"
"Representantes 2018-2022","Neila Ruiz Correa","Boyacá"
"Representantes 2018-2022","César Augusto Ortiz Zorro","Casanare"
"Representantes 2018-2022","Diego Javier Osorio Jiménez","Quindio"
"Representantes 2018-2022","Nidia Marcela Osorio Salgado","Antioquia"
"Representantes 2018-2022","Gustavo Hernán Puentes Díaz","Boyacá"
"Representantes 2018-2022","José Gustavo Padilla Orozco","Valle del Cauca"
"Representantes 2018-2022","Mauricio Parodi Diaz","Antioquia"
"Representantes 2018-2022","Diego Patiño Amariles","Risaralda"
"Representantes 2018-2022","Julián Peinado Ramírez","Antioquia"
"Representantes 2018-2022","Flora Perdomo Andrade","Huila"
"Representantes 2018-2022","Oscar Darío Pérez Pineda","Antioquia"
"Representantes 2018-2022","Sara Helena Piedrahita Lyons","Córdoba"
"Representantes 2018-2022","Jose Luis Pinedo Campo","Magdalena"
"Representantes 2018-2022","Carlos Eduardo Acosta Lozano","Bogotá"
"Representantes 2018-2022","Crisanto Pizo Mazabuel","Cauca"
"Representantes 2018-2022","Álvaro Hernán Prada Artunduaga","Huila"
"Representantes 2018-2022","Héctor Ángel Ortiz Núñez","Boyacá"
"Representantes 2018-2022","David Ernesto Pulido Novoa","Guaviare"
"Representantes 2018-2022","Esteban Quintero Cardona","Antioquia"
"Representantes 2018-2022","Eloy Chichí Quintero Romero","Cesar"
"Representantes 2018-2022","Carlos Alberto Carreño Marín","Bogotá"
"Representantes 2018-2022","Mónica María Raigoza Morales","Antioquia"
"Representantes 2018-2022","Juan Carlos Reinales Agudelo","Risaralda"
"Representantes 2018-2022","Margarita María Restrepo Arango","Antioquia"
"Representantes 2018-2022","Omar de Jesús Restrepo Correa","Antioquia"
"Representantes 2018-2022","Juan Fernando Reyes Kuri","Valle del Cauca"
"Representantes 2018-2022","Buenaventura León León","Cundinamarca"
"Representantes 2018-2022","Nevardo Eneiro Rincón Vergara","Arauca"
"Representantes 2018-2022","Juan Carlos Rivera Peña","Risaralda"
"Representantes 2018-2022","Jaime Rodríguez Contreras","Meta"
"Representantes 2018-2022","Ciro Antonio Rodríguez Pinzón","Norte de Santander"
"Representantes 2018-2022","María José Pizarro Rodríguez","Bogotá"
"Representantes 2018-2022","Karina Estefania Rojano Palacio","Atlántico"
"Representantes 2018-2022","César Augusto Pachón Achury","Boyacá"
"Representantes 2018-2022","John Jairo Roldán Avendaño","Antioquia"
"Representantes 2018-2022","Rodrigo Arturo Rojas Lara","Boyacá"
"Representantes 2018-2022","José Eliécer Salazar López","Cesar"
"Representantes 2018-2022","David Ricardo Racero Mayorca","Bogotá"
"Representantes 2018-2022","Óscar Hernán Sánchez León","Cundinamarca"
"Representantes 2018-2022","Irma Luz Herrera Rodríguez","Bogotá"
"Representantes 2018-2022","María Cristina Soto de Gómez","La Guajira"
"Representantes 2018-2022","Jorge Eliécer Tamayo Marulanda","Valle del Cauca"
"Representantes 2018-2022","Juan Carlos Wills Ospina","Bogotá"
"Representantes 2018-2022","Julio César Triana Quintero","Huila"
"Representantes 2018-2022","Juan Carlos Lozada Vargas","Bogotá"
"Representantes 2018-2022","Edwin Alberto Valdes Rodriguez","Caquetá"
"Representantes 2018-2022","Harold Augusto Valencia Infante","Amazonas"
"Representantes 2018-2022","Mónica Liliana Valencia Montaña","Vaupés"
"Representantes 2018-2022","Gabriel Jaime Vallejo Chujfi","Risaralda"
"Representantes 2018-2022","Alejandro Alberto Vega Pérez","Meta"
"Representantes 2018-2022","Juan David Vélez Trujillo","Ciudadanos en el Exterior"
"Representantes 2018-2022","Héctor Javier Vergara Sierra","Sucre"
"Representantes 2018-2022","Martha Patricia Villalba Hodwalker","Atlántico"
"Representantes 2018-2022","Salim Villamil Quessep","Sucre"
"Representantes 2018-2022","Oscar Leonardo Villamizar Meneses","Santander"
"Representantes 2018-2022","Carlos Germán Navas Talero","Bogotá"
"Representantes 2018-2022","Jaime Armando Yepes Martínez","Tolima"
"Representantes 2018-2022","Armando Antonio Zabarain D'arce","Atlántico"
"Representantes 2018-2022","José Edilberto Caicedo Sastoque","Cundinamarca"
"Representantes 2018-2022","Erasmo Elias Zuleta Bechara","Córdoba"
