Senador,
Álvaro Uribe Vélez,
Paola Andrea Holguín Moreno,
Amanda Rocío González Rodríguez,
Ernesto Macías Tovar,
María Fernanda Cabal Molina,
Ciro Alejandro Ramírez Cortés,
Santiago Valencia González,
Honorio Miguel Henríquez Pinedo,
Gabriel Jaime Velasco Ocampo,
Ruby Helena Chagui Spath,
Alejandro Corrales Escobar,
Paloma Susana Valencia Laserna,
Carlos Felipe Mejía Mejía,
Nicolás Pérez Vásquez,
María del Rosario Guerra de La Espriella,
Fernando Araújo Rumié,
Carlos Manuel Meisel Vergara,
José Obdulio Gaviria,
John Harold Suárez Vargas,
Arturo Char Chaljub,
Luis Eduardo Díaz Granados Torres,
Rodrigo Lara Restrepo,
Didier Lobo Chinchilla,
Edgar Jesús Díaz Contreras,
Carlos Abraham Jiménez López,
Carlos Fernando Motoa,
Fabián Gerardo Castillo Suárez,
Richard Aguilar Villa,
Antonio Luis Zabarain Guevara,
Daira de Jesús Galvis Méndez,
José Luis Pérez Oyuela,
Claudia Rodríguez de Castellanos,
Germán Varón,
Temístocles Ortega,
Ana María Castañeda Gómez,
David Alejandro Barguil Assis,
Efraín José Cepeda Sarabia,
Nora María García Burgos,
Carlos Andrés Trujillo González,
Laureano Augusto Acuña Díaz,
Juan Samy Merheg Marún,
Miguel Ángel Barreto Castillo,
Myriam Alicia Paredes Aguirre,
Juan Diego Gómez Jiménez,
Aída Merlano Rebolledo,
Juan Carlos García Gómez,
Nadia Georgette Blel Scaff,
Esperanza Andrade de Osso,
Carlos Eduardo Enríquez Maya,
Lidio Arturo García Turbay,
Mauricio Gómez Amín,
Horacio José Serpa,
Miguel Ángel Pinto Hernández,
Fabio Raúl Amín Saleme,
Julián Bedoya Pulgarín,
Luis Fernando Velasco Cháves,
Mario Alberto Castaño Pérez,
Jaime Enrique Durán Barrera ,
Iván Darío Agudelo Zapata,
Andrés Cristo Bustos,
Guillermo García Realpe,
Laura Ester Fortich Sánchez,
Rodrigo Villalba Mosquera,
Roy Leonardo Barreras Montealegre,
Roosvelt Rodríguez Rengifo,
José Ritter López Peña,
José David Name Cardozo,
Juan Felipe Lemos Uribe,
Eduardo Enrique Pulgar Daza ,
John Moisés Besaile Fayad,
José Alfredo Gnecco Zuleta,
Andrés Felipe García Zuccardi,
Armando Alberto Benedetti Villaneda,
Germán Darío Hoyos Giraldo,
Berner León Zambrano Eraso,
Miguel Amín Escaf,
Maritza Martínez Aristizábal,
Antanas Mockus,
Angélica Lozano ,
Jorge Eduardo Londoño Ulloa,
Iván Leónidas Name Vásquez ,
José Aulo Polo Narváez,
Sandra Liliana Ortiz Nova,
Luis Iván Marulanda Gómez,
Antonio Eresmid Sanguino Páez,
Juan Luis Castro Córdoba - Renuncio, 
Jorge Enrique Robledo,
Pedro Leonidas Gómez Gómez,
Alexander López Maya,
Iván Cepeda,
Jesús Castilla,
Iván Luciano Márquez Marin ,
Pablo Catatumbo Torres Victoria,
Victoria Sandino Simanca,
Julián Gallo Cubillos,
Sandra Ramírez Lobo Silva ,
Gustavo Bolívar,
Aída Avella,
Jonatan Tamayo Pérez,
Gustavo Petro,
Ana Paola Agudelo García,
Carlos Eduardo Guevara Villabón,
Aydeé Lizarazo Cubillos,
John Milton Rodríguez,
Eduardo Emilio Pacheco,
Edgar Enrique Palacio,
Feliciano Valencia Medina,
Manuel Bitervo Palchucan Chingal,
Milla Patricia Romero Soto,
Yezid García Abello,
Wilson Arias Castillo,
Jorge Eliecer Guevara,
Soledad Tamayo,
